platform,website,date,zipcode,rank,page,query,prod_id,upc,product,manufacturer,model,price,list_price,in_stock,max_qty,seller,arrives,shipping,shipping_price,shipping_options,store_stock,store_address,store_zip,store_price,weight,reviews,rating,quantity1,quantity2,quantity3,quantity4,quantity5,ads,calc_rank,calc_inven,calc_promo,calc_ship
LOW,https://www.lowes.com/,1578772057082,78722,1.0,1.0,https://www.lowes.com/search?searchTerm=drills&sortMethod=sortBy_bestSellers,863707,,10-Tool 20-Volt Power Tool Combo Kit with Soft Case (Charger Included and 2-Batteries Included),DEWALT,DCK1020D2,499.0,849.0,1.0,,,,Available!,,,,"S.E. Austin Lowes, 5510 South IH 35, Austin, TX",78722.0,,37.0,170.0,4.8176,2.0,0.0,,,,0.0,1.0,2.0,1.0,2
LOW,https://www.lowes.com/,1578772059904,78722,2.0,1.0,https://www.lowes.com/search?searchTerm=drills&sortMethod=sortBy_bestSellers,797362,,20-Volt Max 1/2-in Brushless Cordless Drill (Charger Included),DEWALT,DCD777C2,99.0,159.0,1.0,,,,Available!,,,,"S.E. Austin Lowes, 5510 South IH 35, Austin, TX",78722.0,,2.56,1118.0,4.7209,23.0,0.0,,,,0.0,2.0,23.0,1.0,2
LOW,https://www.lowes.com/,1578772062054,78722,3.0,1.0,https://www.lowes.com/search?searchTerm=drills&sortMethod=sortBy_bestSellers,836487,,1-in SDS-plus 8-Amp Keyless Rotary Hammer,Bosch,11255VSR-GWS8,259.0,,0.0,,,,Currently unavailable,,,,"S.E. Austin Lowes, 5510 South IH 35, Austin, TX",78722.0,,,15.0,4.5333,0.0,0.0,,,,0.0,3.0,0.0,0.0,7
LOW,https://www.lowes.com/,1578772064069,78722,4.0,1.0,https://www.lowes.com/search?searchTerm=drills&sortMethod=sortBy_bestSellers,797394,,2-Tool 20-Volt Max Brushless Power Tool Combo Kit with Soft Case (Charger Included and 2-Batteries Included),DEWALT,DCK277C2,249.99,,1.0,,,,Available!,,,,"S.E. Austin Lowes, 5510 South IH 35, Austin, TX",78722.0,,9.2,449.0,4.7996,26.0,1.0,,,,0.0,4.0,26.0,1.0,2
LOW,https://www.lowes.com/,1578772065698,78722,5.0,1.0,https://www.lowes.com/search?searchTerm=drills&sortMethod=sortBy_bestSellers,779395,,XR 2-Tool 20-Volt Max Brushless Power Tool Combo Kit with Soft Case (Charger Included and 2-Batteries Included),DEWALT,DCK283D2,249.0,299.0,1.0,,,,Available!,,,,"S.E. Austin Lowes, 5510 South IH 35, Austin, TX",78722.0,,9.2,254.0,4.8819,6.0,0.0,,,,0.0,5.0,6.0,1.0,2
LOW,https://www.lowes.com/,1578772067384,78722,6.0,1.0,https://www.lowes.com/search?searchTerm=drills&sortMethod=sortBy_bestSellers,254285,,20-Volt Max Variable Speed Cordless Impact Driver (2-Battery),DEWALT,DCF885C2,179.0,,0.0,,,,Currently unavailable,,,,"S.E. Austin Lowes, 5510 South IH 35, Austin, TX",78722.0,,3.7,90.0,4.7778,0.0,1.0,,,,0.0,6.0,0.0,1.0,7
LOW,https://www.lowes.com/,1578772069457,78722,7.0,1.0,https://www.lowes.com/search?searchTerm=drills&sortMethod=sortBy_bestSellers,1045308,,V20 8-Tool 20-Volt Max Power Tool Combo Kit with Soft Case (Charger Included and 2-Batteries Included),CRAFTSMAN,CMCK800D2,299.0,449.0,1.0,,,,Delivery available,,,,"S.E. Austin Lowes, 5510 South IH 35, Austin, TX",78722.0,,38.2,129.0,4.7054,1.0,0.0,,,,0.0,7.0,1.0,1.0,7
LOW,https://www.lowes.com/,1578772071746,78722,8.0,1.0,https://www.lowes.com/search?searchTerm=drills&sortMethod=sortBy_bestSellers,1045301,,V20 2-Tool 20-Volt Max Power Tool Combo Kit with Soft Case (Charger Included and 2-Batteries Included),CRAFTSMAN,CMCK200C2,99.0,149.0,1.0,,,,Available!,,,,"S.E. Austin Lowes, 5510 South IH 35, Austin, TX",78722.0,,9.6,486.0,4.6584,3.0,0.0,,,,0.0,8.0,3.0,1.0,2
LOW,https://www.lowes.com/,1578772073746,78722,9.0,1.0,https://www.lowes.com/search?searchTerm=drills&sortMethod=sortBy_bestSellers,672795,,XR 20-Volt Max 1/2-in Drive Variable Brushless Cordless Impact Wrench (1-Battery Included and Charger Included),DEWALT,DCF899M1,319.0,,1.0,,,,Available!,,,,"S.E. Austin Lowes, 5510 South IH 35, Austin, TX",78722.0,,7.2,155.0,4.729,6.0,0.0,,,,0.0,9.0,6.0,0.0,2
LOW,https://www.lowes.com/,1578772075621,78722,10.0,1.0,https://www.lowes.com/search?searchTerm=drills&sortMethod=sortBy_bestSellers,797361,,6-Tool 20-Volt Max Power Tool Combo Kit with Soft Case (Charger Included and 2-Batteries Included),DEWALT,DCK620D2,369.0,629.0,,,,,,,,,"S.E. Austin Lowes, 5510 South IH 35, Austin, TX",78722.0,,28.5,161.0,4.764,,0.0,,,,0.0,10.0,0.0,1.0,7
